            12:21:45 01/09/2018 r/w I/O per second       KBytes per sec      Svt ms     IOSz KB     
             SRM_RECOVER_RO_149   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_150   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_152   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_213   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_232   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_233   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_296   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_479   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_RECOVER_RO_3966   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
           SRM_RECOVER_RO_28257   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
           SRM_RECOVER_RO_28258   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_147   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_274   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_275   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_289   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_431   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_238   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_271   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_272   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_553   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
           SRM_RECOVER_RO_88430   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_212   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_230   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_231   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_235   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_236   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_237   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_241   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_245   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_273   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
           SRM_RECOVER_RO_54158   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              SRM_RECOVER_RO_26   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              SRM_RECOVER_RO_77   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_220   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_240   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_249   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_428   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_477   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_555   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_RECOVER_RO_8061   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
         ECBRHCP2_vg00.07112017   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_148   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_149   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_150   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_152   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_213   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_232   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_233   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_296   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_479   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
           SRM_TARGETBK_RO_3966   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          SRM_TARGETBK_RO_28257   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          SRM_TARGETBK_RO_28258   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_147   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_274   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_275   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_289   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_431   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_212   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_230   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_231   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_235   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_236   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_237   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_241   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_245   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_273   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          SRM_TARGETBK_RO_54158   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_TARGETBK_RO_26   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_TARGETBK_RO_77   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_220   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_240   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_249   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_428   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_477   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_555   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
           SRM_TARGETBK_RO_8061   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_238   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_271   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_272   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            SRM_TARGETBK_RO_553   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          SRM_TARGETBK_RO_88430   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            rcpy.379.104824.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
    plantillaSO_tmp_Mov_Nutanix   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          ecbrprcl5_cl6_Disco_K   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          ecbrprcl5_cl6_Disco_L   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          ecbrprcl5_cl6_Disco_M   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          ecbrprcl5_cl6_Disco_Q   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          ecbrprcl5_cl6_Disco_T   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprcl6_DiscoC   t    3    3    3     46     46     46 11.78 11.78  13.8  13.8    0
               ecbrprcl5_DiscoC   t    4    4    4     29     29     29  1.86  1.86   6.6   6.6    0
              BGR186VC2_tempora   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            BGR186VC2_tempora_2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          ecbrprcl5_cl6_Disco_D   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          ecbrprcl5_cl6_Disco_S   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
ecbrprw44_45_47_48_C01_F01_DisC   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            tmp_GCH_ecbrprencr1   t    4    4    4      2      2      2  0.39  0.39   0.5   0.5    0
                 rcpy.279.148.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.279.149.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.279.150.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.279.152.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.279.213.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.279.232.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.279.233.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.279.296.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.279.479.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                rcpy.279.3966.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.279.28257.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.279.28258.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.281.147.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.281.274.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.281.275.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.281.289.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.281.431.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.284.212.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.284.230.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.284.231.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.284.235.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.284.236.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.284.237.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.284.241.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.284.245.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.284.273.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                rcpy.284.8290.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.284.54158.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                rcpy.285.10.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                rcpy.285.11.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                rcpy.285.26.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                rcpy.285.77.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.285.220.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.285.240.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.285.249.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.285.428.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.285.477.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.285.555.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.285.8061.2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.337.238.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.337.271.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.337.272.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.337.553.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.337.88430.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.296.23764.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.107.513.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.107.523.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.107.562.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.107.563.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 rcpy.107.565.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               rcpy.222.94960.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.111518.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.111519.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.111520.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.111521.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.111524.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.111570.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.111572.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.111573.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.111574.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.111575.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.111581.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.111633.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              rcpy.309.114512.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
----------------------------------------------------------------------------------------------------
                            445   t 7104 7104      533450 533450         2.85  2.85  75.1  75.1    0

